date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:04:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2017%20Jul%202024%2018:02:38%20GMT	http://dev1.mypagevn.com/robots.txt		(from )
01:04:23	145483/145483	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2018:02:38%20GMT	http://dev1.mypagevn.com/star1/	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/index.html	(from )
01:04:24	53582/53582	---M--	200	added ('OK')	text/css	etag:%22d14e-5713ee6952b80%22	http://dev1.mypagevn.com/star1/wp-content/themes/star1/css/bootstrap.min.css?ver=1.0	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/themes/star1/css/bootstrap.min5152.css	(from http://dev1.mypagevn.com/star1/)
01:04:25	27466/27466	---M--	200	added ('OK')	text/css	etag:%226b4a-52c8a25276100%22	http://dev1.mypagevn.com/star1/wp-content/themes/star1/css/font-awesome.min.css?ver=1.0	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/themes/star1/css/font-awesome.min5152.css	(from http://dev1.mypagevn.com/star1/)
01:04:26	145595/145595	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Jul%202024%2018:02:40%20GMT	http://dev1.mypagevn.com/star1/page/2/	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/page/2/index.html	(from http://dev1.mypagevn.com/star1/)
01:04:26	22809/22809	---M--	200	added ('OK')	text/css	etag:%225919-570f882e80f80%22	http://dev1.mypagevn.com/star1/wp-content/themes/star1/css/swiper.css?ver=1.0	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/themes/star1/css/swiper5152.css	(from http://dev1.mypagevn.com/star1/)
01:04:27	35073/35073	---M--	200	added ('OK')	text/css	etag:%228901-571e8e6422840%22	http://dev1.mypagevn.com/star1/wp-content/themes/star1/style.css?ver=1.0	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/themes/star1/style5152.css	(from http://dev1.mypagevn.com/star1/)
01:04:28	21478/21478	---M--	200	added ('OK')	text/css	etag:%2253e6-570d902846b00%22	http://dev1.mypagevn.com/star1/wp-content/plugins/youtube-channel-gallery/styles.css?ver=4.9.25	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/plugins/youtube-channel-gallery/stylesfd8a.css	(from http://dev1.mypagevn.com/star1/)
01:04:28	7805/7805	---M--	200	added ('OK')	text/css	etag:%221e7d-570d902846b00%22	http://dev1.mypagevn.com/star1/wp-content/plugins/youtube-channel-gallery/magnific-popup.css?ver=4.9.25	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-content/plugins/youtube-channel-gallery/magnific-popupfd8a.css	(from http://dev1.mypagevn.com/star1/)
01:04:30	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-570d9151d2900%22	http://dev1.mypagevn.com/star1/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/laragon/www/Asm_ph32799_nguyenTrungHieu/dev1.mypagevn.com/star1/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://dev1.mypagevn.com/star1/)
